COMPOSANTE | COCHÉE → | DÉCOCHÉE → | MÉTHODE ET VERDICT
titre | apparaît | disparaît | marqueur data-c → OK
sous_titre | apparaît | disparaît | marqueur data-c → OK
nom_eleve | apparaît | disparaît | marqueur data-c → OK
classe | apparaît | disparaît | marqueur data-c → OK
niveau | apparaît | disparaît | marqueur data-c → OK
groupe | apparaît | disparaît | marqueur data-c → OK
chapitre | apparaît | disparaît | marqueur data-c → OK
seance | apparaît | disparaît | marqueur data-c → OK
date_seance | apparaît | disparaît | marqueur data-c → OK
date_edition | apparaît | disparaît | effet spécifique → OK
annee_scolaire | apparaît | disparaît | marqueur data-c → OK
periode | apparaît | disparaît | marqueur data-c → OK
marque_mjpc | apparaît | disparaît | marqueur data-c → OK
code_personnel | apparaît | disparaît | marqueur data-c → OK
version_document | apparaît | disparaît | marqueur data-c → OK
objectif | apparaît | disparaît | marqueur data-c → OK
competences | apparaît | disparaît | marqueur data-c → OK
notions | apparaît | disparaît | marqueur data-c → OK
domaine_socle | apparaît | disparaît | marqueur data-c → OK
attendu_cycle | apparaît | disparaît | marqueur data-c → OK
prerequis | apparaît | disparaît | marqueur data-c → OK
evalue | apparaît | disparaît | marqueur data-c → OK
criteres_reussite | apparaît | disparaît | marqueur data-c → OK
duree_prevue | apparaît | disparaît | marqueur data-c → OK
place_progression | apparaît | disparaît | marqueur data-c → OK
parcours | apparaît | disparaît | marqueur data-c → OK
oeuvre | apparaît | disparaît | marqueur data-c → OK
auteur | apparaît | disparaît | marqueur data-c → OK
siecle_courant | apparaît | disparaît | marqueur data-c → OK
corpus | apparaît | disparaît | marqueur data-c → OK
genre | apparaît | disparaît | marqueur data-c → OK
histoire_arts | apparaît | disparaît | marqueur data-c → OK
prolongements | apparaît | disparaît | marqueur data-c → OK
lexique_seance | apparaît | disparaît | marqueur data-c → OK
etymologie | apparaît | disparaît | marqueur data-c → OK
repere_chrono | apparaît | disparaît | marqueur data-c → OK
texte_libre | apparaît | disparaît | marqueur data-c → OK
liste_puces | apparaît | disparaît | marqueur data-c → OK
